"Source","Target","Weight","Type"
"fyp","viral",147,"Undirected"
"fyp","viral",145,"Undirected"
"fyp","explore",137,"Undirected"
"raul","fyp",137,"Undirected"
"fyp","happynation",136,"Undirected"
"raul","viral",125,"Undirected"
"raul","fyp",119,"Undirected"
"estelionato","golpe",115,"Undirected"
"viral","happynation",111,"Undirected"
"viral","explore",105,"Undirected"
"fyp","lifestyle",103,"Undirected"
"fyp","777",101,"Undirected"
"happynation","marketingdigital",101,"Undirected"
"fyp","marketingdigital",100,"Undirected"
"fyp","sucesso",97,"Undirected"
"happynation","lifestyle",95,"Undirected"
"fyp","explore",94,"Undirected"
"happynation","sucesso",94,"Undirected"
"viral","estelionato",92,"Undirected"
"raul","explore",92,"Undirected"
"marketingdigital","777",88,"Undirected"
"777","lifestyle",87,"Undirected"
"marketingdigital","lifestyle",87,"Undirected"
"happynation","777",86,"Undirected"
"fyp","estelionato",85,"Undirected"
"marketingdigital","sucesso",84,"Undirected"
"marketingdigital","mindset",83,"Undirected"
"happynation","mindset",81,"Undirected"
"lifestyle","mindset",81,"Undirected"
"sucesso","mindset",81,"Undirected"
"sucesso","lifestyle",80,"Undirected"
"mindset","333",79,"Undirected"
"777","mindset",79,"Undirected"
"viral","explore",79,"Undirected"
"fyp","mindset",79,"Undirected"
"viral","golpe",79,"Undirected"
"happynation","brasil",79,"Undirected"
"sucesso","333",78,"Undirected"
"777","333",78,"Undirected"
"777","sucesso",78,"Undirected"
"fyp","333",78,"Undirected"
"happynation","333",78,"Undirected"
"lifestyle","333",78,"Undirected"
"marketingdigital","333",78,"Undirected"
"777","brasil",77,"Undirected"
"dinheiro","dinheiroextra",77,"Undirected"
"fyp","brasil",77,"Undirected"
"lifestyle","brasil",76,"Undirected"
"marketingdigital","brasil",76,"Undirected"
"raul","viral",76,"Undirected"
"brasil","333",75,"Undirected"
"estelionato","estelionatario",75,"Undirected"
"raul","explore",75,"Undirected"
"dinheiro","dinheiroonline",73,"Undirected"
"fyp","dinheiro",73,"Undirected"
"viral","reels",72,"Undirected"
"happynation","dinheiro",70,"Undirected"
"estelionato","dinheiro",69,"Undirected"
"fyp","171",69,"Undirected"
"sucesso","brasil",68,"Undirected"
"fyp","estelionatario",67,"Undirected"
"viral","tropado7",67,"Undirected"
"estelionato","171",66,"Undirected"
"estelionato","estelionatario",64,"Undirected"
"brasil","mindset",64,"Undirected"
"estelionato","golpe",63,"Undirected"
"fyp","tropado7",63,"Undirected"
"estelionato","happynation",63,"Undirected"
"happynation","golpe",63,"Undirected"
"fyp","reels",62,"Undirected"
"raul","bigode",61,"Undirected"
"171","estelionatario",60,"Undirected"
"explore","reels",60,"Undirected"
"fyp","meme",59,"Undirected"
"dinheiro","sucesso",58,"Undirected"
"happynation","dinheiro",58,"Undirected"
"viral","dinheiro",56,"Undirected"
"viral","171",54,"Undirected"
"estelionatario","dinheiro",53,"Undirected"
"fyp","happynation",52,"Undirected"
"raul","tropado7",51,"Undirected"
"fyp","7",50,"Undirected"
"viral","estelionato",50,"Undirected"
"fyp","dinheiro",49,"Undirected"
"estelionatario","dinheiroextra",49,"Undirected"
"estelionato","dinheiroextra",49,"Undirected"
"viral","estelionatario",49,"Undirected"
"estelionato","dinheiro",49,"Undirected"
"estelionato","explore",48,"Undirected"
"fyp","tropado7",48,"Undirected"
"viral","dinheiro",48,"Undirected"
"viral","humor",46,"Undirected"
"fyp","171",45,"Undirected"
"raul","reels",45,"Undirected"
"fyp","dinheiroonline",44,"Undirected"
"raul","estelionatario",44,"Undirected"
"viral","reels",43,"Undirected"
"viral","dinheiroonline",42,"Undirected"
"raul","kit",42,"Undirected"
"tropado7","estelionatario",42,"Undirected"
"viral","estelionatario",42,"Undirected"
"estelionato","reels",41,"Undirected"
"tropado7","dinheiro",41,"Undirected"
"171","estelionatario",40,"Undirected"
"fyp","reels",40,"Undirected"
"estelionatario","golpe",39,"Undirected"
"estelionato","7",38,"Undirected"
"kit","ft",38,"Undirected"
"viral","kit",38,"Undirected"
"raul","nike",38,"Undirected"
"raul","estelionato",38,"Undirected"
"raul","ft",38,"Undirected"
"estelionatario","dinheiro",37,"Undirected"
"estelionatario","golpe",37,"Undirected"
"viral","marketingdigital",37,"Undirected"
"tropado7","171",37,"Undirected"
"tropado7","explore",37,"Undirected"
