"Source","Target","Weight"
"fyp","viral",239
"estelionato","fyp",172
"fyp","happynation",123
"fyp","raul",121
"171","fyp",78
"7","estelionato",77
"dinheiro","fyp",77
"estelionato","viral",66
"fyp","musica",64
"171","estelionato",62
"7","fyp",62
"raul","viral",61
"estelionato","raul",60
"fyp","tropado7",53
"dinheiro","estelionato",48
"estelionatario","fyp",47
"happynation","viral",47
"funk","fyp",43
"estelionatario","estelionato",42
"happynation","luxo",35
"dinheiro","happynation",34
"fyp","luxo",34
"dinheiro","luxo",33
"tropado7","viral",33
"7","viral",32
"dinheiro","viral",32
"777","estelionato",31
"dinheiro","estelionatario",31
"estelionatario","raul",31
"171","raul",30
"171","estelionatario",29
"fyp","trending",29
"explore","fyp",28
"171","viral",27
"7","raul",27
"777","fyp",27
"dinheiro","raul",27
"fyp","ninoabravanel",27
"happynation","musica",27
"171","dinheiro",25
"cc","tropado7",25
"fyp","tiktok",25
"cc","fyp",24
"dinheiro","milionario",24
"estelionato","tropado7",24
"7","dinheiro",23
"7","estelionatario",23
"estelionatario","viral",23
"musica","viral",23
"171","7",22
"funk","musica",22
"fyp","mulherdepreso",21
"luxo","milionario",21
"171","tropado7",20
"aceofbase","happynation",20
"estelionato","golpe",20
"estilo","fyp",20
"fyp","meme",20
"happynation","rico",19
"tiktok","viral",19
"estilo","raul",18
"estelionato","explore",17
"funk","viral",17
"trending","viral",17
"luxo","viral",16
"171","cc",15
"7","tropado7",15
"777","dinheiro",15
"aceofbase","musica",15
"estelionatario","tropado7",15
"fyp","golpe",15
"fyp","humor",15
"fyp","motivational",15
"raul","tropado7",15
"777","estelionatario",14
"casa","milionario",14
"cc","raul",14
"dinheiro","tropado7",14
"humor","viral",14
"171","golpe",13
"7","cc",13
"cc","dinheiro",13
"cc","viral",13
"estelionato","meme",13
"fyp","mckelvinho",13
"fyp","rico",13
"777","viral",12
"bigode","raul",12
"bilionario","happynation",12
"casa","dinheiro",12
"casa","luxo",12
"cc","estelionato",12
"estelionato","laranja",12
"estelionato","mulherdepreso",12
"estelionato","ninoabravanel",12
"golpe","viral",12
"ninoabravanel","viral",12
"7","777",11
"777","tropado7",11
"cc","estelionatario",11
"dinheiro","rico",11
"fyp","milionario",11
"fyp","policia",11
"happynation","ruyter",11
"midia","tropado7",11
"mulherdepreso","viral",11
"7","golpe",10
"bilionario","luxo",10
"estelionatario","golpe",10
"estelionato","frases",10
"estelionato","happynation",10
"explore","viral",10
"happynation","milionario",10
"happynation","trending",10
"luxo","rico",10
"rico","viral",10
"7","mckelvinho",9
"777","raul",9
"buzeira","happynation",9
"cartaoclonado","cc",9
"cartaoclonado","tropado7",9
"estelionato","mckelvinho",9
"funk","raul",9
"funk","status",9
"funk","tropado7",9
"mckelvinho","raul",9
"meme","viral",9
"171","musica",8
"aceofbase","fyp",8
"bigode","estelionato",8
"bilionario","fyp",8
"dinheiro","golpe",8
"explore","raul",8
"frases","fyp",8
"fyp","midia",8
"golpe","raul",8
"happynation","motivational",8
"happynation","policia",8
"motivational","viral",8
"tiktokshop","tropado7",8
"171","777",7
"brasil","fyp",7
"cartaoclonado","fyp",7
"dinheiro","mulherdepreso",7
"estelionatario","explore",7
"estelionatario","meme",7
"estelionatario","musica",7
"estilo","viral",7
"fyp","status",7
"happynation","sucesso",7
"humor","raul",7
"musica","raul",7
"171","explore",6
"bigode","estelionatario",6
"bilionario","viral",6
"buzeira","fyp",6
"estilo","happynation",6
"explore","funk",6
"fyp","laranja",6
"happynation","meme",6
"luxo","sucesso",6
"meme","raul",6
"midia","raul",6
"midia","tiktokshop",6
"musica","trending",6
"raul","tiktok",6
"171","frases",5
"171","meme",5
"171","mulherdepreso",5
"cartaoclonado","viral",5
"crime","estelionato",5
