Source,Target,Type,origem,weight_instagram,weight_tiktok,weight_rel_instagram,weight_rel_tiktok,Weight,weight_total_bruta
01,171,Undirected,instagram,1,0,0.32,0.0,0.32,1
01,244,Undirected,instagram,2,0,0.64,0.0,0.64,2
01,7,Undirected,instagram,2,0,0.64,0.0,0.64,2
01,buzeira,Undirected,instagram,1,0,0.32,0.0,0.32,1
01,estelionato,Undirected,instagram,1,0,0.32,0.0,0.32,1
01,estilo,Undirected,instagram,4,0,1.28,0.0,1.28,4
01,explore,Undirected,instagram,2,0,0.64,0.0,0.64,2
01,funk,Undirected,instagram,1,0,0.32,0.0,0.32,1
01,fyp,Undirected,instagram,8,0,2.559,0.0,2.559,8
01,grauderua,Undirected,instagram,2,0,0.64,0.0,0.64,2
01,happynation,Undirected,instagram,1,0,0.32,0.0,0.32,1
01,milionario,Undirected,instagram,1,0,0.32,0.0,0.32,1
01,raul,Undirected,instagram,6,0,1.919,0.0,1.919,6
01,reels,Undirected,instagram,1,0,0.32,0.0,0.32,1
01,tropado7,Undirected,instagram,4,0,1.28,0.0,1.28,4
01,viral,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,244,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,7,Undirected,ambas,45,22,14.395,12.666,13.53,67
171,77,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,777,Undirected,ambas,12,7,3.839,4.03,3.934,19
171,advocacia,Undirected,instagram,4,0,1.28,0.0,1.28,4
171,advocaciacriminal,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,alerta,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,amigos,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,bigode,Undirected,ambas,13,3,4.159,1.727,2.943,16
171,bitcoin,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,blackhat,Undirected,instagram,17,0,5.438,0.0,5.438,17
171,brasil,Undirected,ambas,5,4,1.599,2.303,1.951,9
171,brazil,Undirected,instagram,7,0,2.239,0.0,2.239,7
171,buzeira,Undirected,instagram,2,0,0.64,0.0,0.64,2
171,cartaoclonado,Undirected,ambas,34,4,10.877,2.303,6.59,38
171,cassino,Undirected,instagram,17,0,5.438,0.0,5.438,17
171,cc,Undirected,ambas,27,15,8.637,8.636,8.636,42
171,consultavel,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,crime,Undirected,ambas,2,3,0.64,1.727,1.183,5
171,digital,Undirected,instagram,4,0,1.28,0.0,1.28,4
171,dinheiro,Undirected,ambas,60,25,19.194,14.393,16.794,85
171,dinheiroextra,Undirected,instagram,29,0,9.277,0.0,9.277,29
171,dinheiroonline,Undirected,ambas,51,2,16.315,1.151,8.733,53
171,direito,Undirected,ambas,6,1,1.919,0.576,1.248,7
171,dropshipping,Undirected,instagram,6,0,1.919,0.0,1.919,6
171,emocionante,Undirected,instagram,1,0,0.32,0.0,0.32,1
171,empreendedorismo,Undirected,instagram,4,0,1.28,0.0,1.28,4
171,enriquecer,Undirected,instagram,17,0,5.438,0.0,5.438,17
