"Source","Target","Weight","Type"
"fyp","viral",239,"Undirected"
"fyp","estelionato",172,"Undirected"
"fyp","happynation",123,"Undirected"
"fyp","raul",121,"Undirected"
"fyp","171",78,"Undirected"
"estelionato","7",77,"Undirected"
"fyp","dinheiro",77,"Undirected"
"estelionato","viral",66,"Undirected"
"fyp","musica",64,"Undirected"
"estelionato","171",62,"Undirected"
"fyp","7",62,"Undirected"
"viral","raul",61,"Undirected"
"estelionato","raul",60,"Undirected"
"fyp","tropado7",53,"Undirected"
"estelionato","dinheiro",48,"Undirected"
"fyp","estelionatario",47,"Undirected"
"viral","happynation",47,"Undirected"
"fyp","funk",43,"Undirected"
"estelionato","estelionatario",42,"Undirected"
"happynation","luxo",35,"Undirected"
"happynation","dinheiro",34,"Undirected"
"fyp","luxo",34,"Undirected"
"dinheiro","luxo",33,"Undirected"
"viral","tropado7",33,"Undirected"
"viral","7",32,"Undirected"
"viral","dinheiro",32,"Undirected"
"estelionato","777",31,"Undirected"
"dinheiro","estelionatario",31,"Undirected"
"raul","estelionatario",31,"Undirected"
"raul","171",30,"Undirected"
"171","estelionatario",29,"Undirected"
"fyp","trending",29,"Undirected"
"fyp","explore",28,"Undirected"
"viral","171",27,"Undirected"
"fyp","777",27,"Undirected"
"fyp","ninoabravanel",27,"Undirected"
"happynation","musica",27,"Undirected"
"tropado7","cc",25,"Undirected"
"fyp","tiktok",25,"Undirected"
"fyp","cc",24,"Undirected"
"dinheiro","milionario",24,"Undirected"
"estelionato","tropado7",24,"Undirected"
"viral","musica",23,"Undirected"
"musica","funk",22,"Undirected"
"fyp","mulherdepreso",21,"Undirected"
"luxo","milionario",21,"Undirected"
"estelionato","golpe",20,"Undirected"
"fyp","estilo",20,"Undirected"
"fyp","meme",20,"Undirected"
"happynation","rico",19,"Undirected"
"viral","tiktok",19,"Undirected"
"raul","estilo",18,"Undirected"
"estelionato","explore",17,"Undirected"
"viral","funk",17,"Undirected"
"viral","trending",17,"Undirected"
"dinheiro","777",15,"Undirected"
"fyp","humor",15,"Undirected"
"fyp","motivational",15,"Undirected"
"milionario","casa",14,"Undirected"
"viral","humor",14,"Undirected"
"estelionato","meme",13,"Undirected"
"fyp","mckelvinho",13,"Undirected"
"fyp","rico",13,"Undirected"
"raul","bigode",12,"Undirected"
"happynation","bilionario",12,"Undirected"
"estelionato","laranja",12,"Undirected"
"estelionato","mulherdepreso",12,"Undirected"
"estelionato","ninoabravanel",12,"Undirected"
"viral","ninoabravanel",12,"Undirected"
"dinheiro","rico",11,"Undirected"
"fyp","policia",11,"Undirected"
"happynation","ruyter",11,"Undirected"
"tropado7","midia",11,"Undirected"
"viral","mulherdepreso",11,"Undirected"
"estelionato","frases",10,"Undirected"
"happynation","trending",10,"Undirected"
"7","mckelvinho",9,"Undirected"
"happynation","buzeira",9,"Undirected"
"cc","cartaoclonado",9,"Undirected"
"tropado7","cartaoclonado",9,"Undirected"
"estelionato","mckelvinho",9,"Undirected"
"funk","status",9,"Undirected"
"raul","mckelvinho",9,"Undirected"
"estelionato","bigode",8,"Undirected"
"happynation","policia",8,"Undirected"
"fyp","brasil",7,"Undirected"
"fyp","status",7,"Undirected"
"happynation","sucesso",7,"Undirected"
"fyp","buzeira",6,"Undirected"
"estelionato","crime",5,"Undirected"
