Id,Label,origem,freq_instagram,freq_tiktok,freq_rel_instagram_pct,freq_rel_tiktok_pct,freq_combinada_rel,freq_total_bruta
01,01,instagram,12,0,0.384,0.0,0.384,12
171,171,ambas,430,194,13.756,11.169,12.463,624
171.0,171.0,instagram,219,0,7.006,0.0,7.006,219
2025,2025,instagram,11,0,0.352,0.0,0.352,11
244,244,instagram,26,0,0.832,0.0,0.832,26
333,333,instagram,79,0,2.527,0.0,2.527,79
7,7,ambas,142,125,4.543,7.196,5.87,267
77,77,instagram,10,0,0.32,0.0,0.32,10
777,777,ambas,171,60,5.47,3.454,4.462,231
aceofbase,aceofbase,ambas,19,22,0.608,1.267,0.938,41
advocacia,advocacia,instagram,29,0,0.928,0.0,0.928,29
advocaciacriminal,advocaciacriminal,instagram,23,0,0.736,0.0,0.736,23
alerta,alerta,instagram,19,0,0.608,0.0,0.608,19
amigos,amigos,instagram,31,0,0.992,0.0,0.992,31
armani,armani,instagram,16,0,0.512,0.0,0.512,16
audi,audi,instagram,12,0,0.384,0.0,0.384,12
bigode,bigode,ambas,85,14,2.719,0.806,1.762,99
bilionario,bilionario,ambas,11,12,0.352,0.691,0.521,23
bitcoin,bitcoin,instagram,15,0,0.48,0.0,0.48,15
blackhat,blackhat,instagram,36,0,1.152,0.0,1.152,36
bmwmoto,bmwmoto,instagram,13,0,0.416,0.0,0.416,13
brasil,brasil,ambas,107,18,3.423,1.036,2.229,125
brazil,brazil,instagram,13,0,0.416,0.0,0.416,13
buzeira,buzeira,ambas,32,18,1.024,1.036,1.03,50
calça,calça,instagram,14,0,0.448,0.0,0.448,14
carro,carro,instagram,11,0,0.352,0.0,0.352,11
cartaoclonado,cartaoclonado,ambas,60,13,1.919,0.748,1.333,73
casa,casa,tiktok,0,15,0.0,0.864,0.864,15
cassino,cassino,instagram,29,0,0.928,0.0,0.928,29
cc,cc,ambas,56,41,1.791,2.36,2.075,97
consultavel,consultavel,instagram,11,0,0.352,0.0,0.352,11
crime,crime,ambas,32,12,1.024,0.691,0.857,44
digital,digital,instagram,12,0,0.384,0.0,0.384,12
dinheiro,dinheiro,ambas,304,155,9.725,8.923,9.324,459
dinheiroextra,dinheiroextra,instagram,134,0,4.287,0.0,4.287,134
dinheiroonline,dinheiroonline,ambas,100,10,3.199,0.576,1.887,110
direito,direito,ambas,73,10,2.335,0.576,1.456,83
dropshipping,dropshipping,instagram,16,0,0.512,0.0,0.512,16
ea7,ea7,instagram,10,0,0.32,0.0,0.32,10
emocionante,emocionante,instagram,19,0,0.608,0.0,0.608,19
empreendedorismo,empreendedorismo,instagram,18,0,0.576,0.0,0.576,18
