"Id","Frequency","Label"
"raul",809,"raul"
"fyp",715,"fyp"
"viral",591,"viral"
"estelionato",575,"estelionato"
"happynation",542,"happynation"
"tropado7",490,"tropado7"
"171",430,"171"
"explore",365,"explore"
"estelionatario",350,"estelionatario"
"dinheiro",304,"dinheiro"
"golpe",235,"golpe"
"171.0",219,"171.0"
"marketingdigital",202,"marketingdigital"
"reels",173,"reels"
"777",171,"777"
"sucesso",166,"sucesso"
"7",142,"7"
"dinheiroextra",134,"dinheiroextra"
"lifestyle",122,"lifestyle"
"meme",109,"meme"
"humor",108,"humor"
"brasil",107,"brasil"
"dinheiroonline",100,"dinheiroonline"
"mindset",89,"mindset"
"bigode",85,"bigode"
"333",79,"333"
"direito",73,"direito"
"nike",70,"nike"
"funk",64,"funk"
"milionario",61,"milionario"
"cartaoclonado",60,"cartaoclonado"
"cc",56,"cc"
"policiacivil",51,"policiacivil"
"lavagemdedinheiro",46,"lavagemdedinheiro"
"trending",46,"trending"
"kit",44,"kit"
"motivational",44,"motivational"
"estilo",43,"estilo"
"instagram",39,"instagram"
"ft",38,"ft"
"laranja",37,"laranja"
"blackhat",36,"blackhat"
"fraude",35,"fraude"
"mandrake",34,"mandrake"
"nf",34,"nf"
"policia",33,"policia"
"buzeira",32,"buzeira"
"crime",32,"crime"
"amigos",31,"amigos"
"musica",31,"musica"
"advocacia",29,"advocacia"
"cassino",29,"cassino"
"trampo",29,"trampo"
"gabyrodrigues",27,"gabyrodrigues"
"luxo",27,"luxo"
"rico",27,"rico"
"vendas",27,"vendas"
"244",26,"244"
"grauderua",26,"grauderua"
"midia",26,"midia"
"pessoas",25,"pessoas"
"advocaciacriminal",23,"advocaciacriminal"
"frases",23,"frases"
"fly",22,"fly"
"metodo",21,"metodo"
"segurança",21,"segurança"
"tiktok",20,"tiktok"
"aceofbase",19,"aceofbase"
"alerta",19,"alerta"
"emocionante",19,"emocionante"
"segurançapública",19,"segurançapública"
"empreendedorismo",18,"empreendedorismo"
"enriquecer",17,"enriquecer"
"estudo",17,"estudo"
"mudancadehabito",17,"mudancadehabito"
"ninoabravanel",17,"ninoabravanel"
"plano",17,"plano"
"armani",16,"armani"
"dropshipping",16,"dropshipping"
"grife",16,"grife"
"lv",16,"lv"
"bitcoin",15,"bitcoin"
"fashion",15,"fashion"
"freefire",15,"freefire"
"instagood",15,"instagood"
"segurançadigital",15,"segurançadigital"
"calça",14,"calça"
"falsoadvogado",14,"falsoadvogado"
"lojamasculina",14,"lojamasculina"
"bmwmoto",13,"bmwmoto"
"brazil",13,"brazil"
"roubo",13,"roubo"
"01",12,"01"
"audi",12,"audi"
"digital",12,"digital"
"enviamosparatodoobrasil",12,"enviamosparatodoobrasil"
"lacoste",12,"lacoste"
"pix",12,"pix"
"2025",11,"2025"
"bilionario",11,"bilionario"
"carro",11,"carro"
"consultavel",11,"consultavel"
"golpedopix",11,"golpedopix"
"77",10,"77"
"ea7",10,"ea7"
"oldmoney",10,"oldmoney"
"paz",10,"paz"
"podcast",10,"podcast"
"prisão",10,"prisão"
"raulbigode",10,"raulbigode"
"ruyter",10,"ruyter"
