"Id","Label","Frequency"
"raul","raul",809
"fyp","fyp",715
"viral","viral",591
"estelionato","estelionato",575
"happynation","happynation",542
"tropado7","tropado7",490
"171","171",430
"explore","explore",365
"estelionatario","estelionatario",350
"dinheiro","dinheiro",304
"golpe","golpe",235
"marketingdigital","marketingdigital",202
"reels","reels",173
"777","777",171
"sucesso","sucesso",166
"7","7",142
"dinheiroextra","dinheiroextra",134
"lifestyle","lifestyle",122
"meme","meme",109
"humor","humor",108
"brasil","brasil",107
"dinheiroonline","dinheiroonline",100
"mindset","mindset",89
"bigode","bigode",85
"333","333",79
"direito","direito",73
"nike","nike",70
"funk","funk",64
"milionario","milionario",61
"cartaoclonado","cartaoclonado",60
"cc","cc",56
"policiacivil","policiacivil",51
"lavagemdedinheiro","lavagemdedinheiro",46
"trending","trending",46
"kit","kit",44
"motivational","motivational",44
"estilo","estilo",43
"instagram","instagram",39
"ft","ft",38
"laranja","laranja",37
"blackhat","blackhat",36
"fraude","fraude",35
"mandrake","mandrake",34
"nf","nf",34
"policia","policia",33
"buzeira","buzeira",32
"crime","crime",32
"amigos","amigos",31
"musica","musica",31
"advocacia","advocacia",29
"gabyrodrigues","gabyrodrigues",27
"luxo","luxo",27
"rico","rico",27
"vendas","vendas",27
"244","244",26
"grauderua","grauderua",26
"midia","midia",26
"pessoas","pessoas",25
"advocaciacriminal","advocaciacriminal",23
"frases","frases",23
"fly","fly",22
"segurança","segurança",21
"tiktok","tiktok",20
"aceofbase","aceofbase",19
"alerta","alerta",19
"emocionante","emocionante",19
"segurançapública","segurançapública",19
"empreendedorismo","empreendedorismo",18
"estudo","estudo",17
"mudancadehabito","mudancadehabito",17
"ninoabravanel","ninoabravanel",17
"dropshipping","dropshipping",16
"bitcoin","bitcoin",15
"fashion","fashion",15
"instagood","instagood",15
"segurançadigital","segurançadigital",15
"falsoadvogado","falsoadvogado",14
"brazil","brazil",13
"01","01",12
"digital","digital",12
"lacoste","lacoste",12
"pix","pix",12
"2025","2025",11
"bilionario","bilionario",11
"carro","carro",11
"consultavel","consultavel",11
"golpedopix","golpedopix",11
"oldmoney","oldmoney",10
"podcast","podcast",10
"prisão","prisão",10
"raulbigode","raulbigode",10
"ruyter","ruyter",10
