"Id","Frequency","Label"
"fyp",896,"fyp"
"estelionato",349,"estelionato"
"viral",337,"viral"
"happynation",240,"happynation"
"raul",237,"raul"
"171",194,"171"
"dinheiro",155,"dinheiro"
"7",125,"7"
"tropado7",107,"tropado7"
"musica",99,"musica"
"estelionatario",98,"estelionatario"
"luxo",76,"luxo"
"funk",72,"funk"
"777",60,"777"
"explore",45,"explore"
"cc",41,"cc"
"ninoabravanel",40,"ninoabravanel"
"meme",39,"meme"
"milionario",39,"milionario"
"mulherdepreso",38,"mulherdepreso"
"humor",37,"humor"
"trending",35,"trending"
"rico",34,"rico"
"tiktok",31,"tiktok"
"estilo",30,"estilo"
"mckelvinho",28,"mckelvinho"
"golpe",27,"golpe"
"aceofbase",22,"aceofbase"
"motivational",21,"motivational"
"midia",19,"midia"
"brasil",18,"brasil"
"buzeira",18,"buzeira"
"ruyter",17,"ruyter"
"sucesso",17,"sucesso"
"bilionario",16,"bilionario"
"frases",16,"frases"
"casa",15,"casa"
"bigode",14,"bigode"
"status",14,"status"
"cartaoclonado",13,"cartaoclonado"
"crime",12,"crime"
"laranja",12,"laranja"
"policia",12,"policia"
"dinheiroonline",10,"dinheiroonline"
"direito",10,"direito"
"tiktokshop",10,"tiktokshop"
"trabalhecomartistas",10,"trabalhecomartistas"
