"Id","Label","Frequency"
"fyp","fyp",896
"estelionato","estelionato",349
"viral","viral",337
"happynation","happynation",240
"raul","raul",237
"171","171",194
"dinheiro","dinheiro",155
"7","7",125
"tropado7","tropado7",107
"musica","musica",99
"estelionatario","estelionatario",98
"luxo","luxo",76
"funk","funk",72
"777","777",60
"explore","explore",45
"cc","cc",41
"ninoabravanel","ninoabravanel",40
"meme","meme",39
"milionario","milionario",39
"mulherdepreso","mulherdepreso",38
"humor","humor",37
"trending","trending",35
"rico","rico",34
"tiktok","tiktok",31
"estilo","estilo",30
"mckelvinho","mckelvinho",28
"golpe","golpe",27
"motivational","motivational",21
"midia","midia",19
"brasil","brasil",18
"buzeira","buzeira",18
"ruyter","ruyter",17
"sucesso","sucesso",17
"bilionario","bilionario",16
"frases","frases",16
"casa","casa",15
"bigode","bigode",14
"status","status",14
"cartaoclonado","cartaoclonado",13
"crime","crime",12
"laranja","laranja",12
"policia","policia",12
